iter	Passed	Remaining
669	64728	31881
670	64809	31776
671	64928	31691
672	65002	31583
673	65097	31486
674	65193	31389
675	65277	31286
676	65371	31188
677	65466	31091
678	65554	30991
679	65656	30897
680	65749	30798
681	65833	30696
682	65921	30595
683	66010	30495
684	66089	30391
685	66176	30290
686	66265	30190
687	66354	30090
688	66450	29994
689	66546	29897
690	66633	29797
691	66718	29695
692	66808	29596
693	66933	29512
694	67047	29423
695	67156	29332
696	67299	29256
697	67448	29182
698	67551	29088
699	67632	28985
700	67749	28897
701	67846	28801
702	67923	28696
703	68018	28598
704	68109	28499
705	68216	28407
706	68315	28311
707	68415	28216
708	68506	28117
709	68615	28025
710	68718	27932
711	68850	27849
712	68958	27757
713	69044	27656
714	69192	27580
715	69292	27484
716	69420	27400
717	69527	27307
718	69602	27201
719	69682	27098
720	69763	26996
721	69867	26902
722	69971	26807
723	70041	26700
724	70152	26609
725	70270	26520
726	70346	26416
727	70454	26323
728	70547	26225
729	70636	26125
730	70749	26035
731	70873	25948
732	71004	25863
733	71105	25768
734	71200	25670
735	71289	25571
736	71402	25480
737	71514	25388
738	71634	25299
739	71728	25202
740	71806	25098
741	71881	24993
742	71981	24898
743	72102	24809
744	72228	24722
745	72369	24640
746	72500	24554
747	72599	24458
748	72708	24365
749	72806	24268
750	72889	24167
751	72988	24070
752	73086	23973
753	73188	23878
754	73310	23789
755	73459	23708
756	73563	23614
757	73672	23520
758	73768	23423
759	73854	23322
760	73966	23229
761	74068	23134
762	74176	23040
763	74282	22945
764	74373	22846
765	74463	22747
766	74539	22643
767	74621	22541
768	74716	22444
769	74803	22344
770	74900	22246
771	75012	22153
772	75149	22068
773	75250	21972
774	75360	21878
775	75464	21783
776	75592	21695
777	75679	21594
778	75784	21499
779	75898	21407
780	76023	21317
781	76131	21223
782	76245	21130
783	76374	21041
784	76498	20951
785	76609	20858
786	76689	20755
787	76774	20655
788	76911	20568
789	76997	20467
790	77127	20378
791	77271	20293
792	77384	20199
793	77489	20104
794	77567	20001
795	77666	19904
796	77763	19806
797	77889	19716
798	78024	19628
799	78115	19528
800	78253	19441
801	78351	19343
802	78468	19250
803	78559	19151
804	78651	19052
805	78747	18954
806	78864	18860
807	78981	18767
808	79127	18681
809	79209	18580
810	79303	18481
811	79391	18381
812	79484	18282
813	79564	18180
814	79655	18081
815	79757	17984
816	79848	17885
817	79944	17787
818	80036	17688
819	80133	17590
820	80203	17486
821	80290	17386
822	80400	17291
823	80525	17199
824	80635	17104
825	80757	17011
826	80850	16913
827	80929	16811
828	81015	16711
829	81135	16618
830	81217	16517
831	81308	16418
832	81386	16316
833	81483	16218
834	81569	16118
835	81653	16018
836	81740	15918
837	81829	15819
838	81927	15721
839	82015	15621
840	82119	15525
841	82216	15427
842	82309	15329
843	82388	15228
844	82482	15129
845	82578	15032
846	82673	14933
847	82763	14834
848	82860	14737
849	82947	14637
850	83035	14538
851	83105	14436
852	83180	14334
853	83296	14240
854	83403	14144
855	83544	14054
856	83625	13953
857	83699	13852
858	83783	13752
859	83870	13653
860	83969	13555
861	84056	13456
862	84146	13358
863	84221	13257
864	84319	13159
865	84406	13060
866	84497	12962
867	84568	12860
868	84634	12758
869	84715	12658
870	84811	12561
871	84901	12462
872	84987	12363
873	85082	12265
874	85155	12165
875	85240	12066
876	85338	11968
877	85426	11870
878	85524	11772
879	85621	11675
880	85713	11577
881	85816	11481
882	85893	11381
883	85980	11282
884	86082	11185
885	86157	11085
886	86237	10986
887	86314	10886
888	86412	10789
889	86513	10692
890	86595	10593
891	86665	10493
892	86755	10395
893	86841	10296
894	86920	10197
895	87010	10099
896	87095	10000
897	87226	9907
898	87312	9809
899	87405	9711
900	87503	9614
901	87600	9517
902	87697	9420
903	87798	9323
904	87865	9223
905	87945	9124
906	88013	9024
907	88100	8926
908	88183	8828
909	88256	8728
910	88363	8632
911	88488	8538
912	88603	8443
913	88739	8349
914	88821	8251
915	88922	8154
916	89046	8059
917	89160	7964
918	89295	7870
919	89412	7774
920	89501	7677
921	89577	7578
922	89681	7481
923	89772	7383
924	89898	7289
925	90034	7194
926	90130	7097
927	90239	7001
928	90358	6905
929	90462	6809
930	90539	6710
931	90618	6611
932	90695	6512
933	90780	6414
934	90887	6318
935	91008	6222
936	91144	6128
937	91231	6030
938	91351	5934
939	91470	5838
940	91540	5739
941	91646	5642
942	91761	5546
943	91872	5450
944	92012	5355
945	92146	5259
946	92285	5164
947	92401	5068
948	92515	4971
949	92629	4875
950	92702	4776
951	92780	4677
952	92864	4579
953	92951	4481
954	93048	4384
955	93178	4288
956	93311	4192
957	93430	4096
958	93510	3997
959	93586	3899
960	93710	3803
961	93790	3704
962	93884	3607
963	93959	3508
964	94044	3410
965	94114	3312
966	94181	3214
967	94280	3116
968	94383	3019
969	94508	2922
970	94628	2826
971	94718	2728
972	94824	2631
973	94939	2534
974	95047	2437
975	95144	2339
976	95258	2242
977	95400	2146
978	95504	2048
979	95607	1951
980	95703	1853
981	95780	1755
982	95859	1657
983	95954	1560
984	96043	1462
985	96128	1364
986	96213	1267
987	96298	1169
988	96391	1072
989	96473	974
990	96553	876
991	96647	779
992	96733	681
993	96815	584
994	96911	486
995	96993	389
996	97068	292
997	97162	194
998	97257	97
999	97352	0
